26-2,Swing,John Coltrane,0
500 Miles High,Bossa,Chick Corea,1
502 Blues,Waltz,Jimmy Rowles,2
52nd Street Theme,Swing,Thelonious Monk,3
9.20 Special,Swing,Earl Warren,4
A Felicidade,Bossa,AntonioCarlos Jobim,5
Ac-Cent-Tchu-Ate The Positive,Swing,Harold Arlen,6
Across The Valley From The Alamo,Swing,Joe Greene,7
Adam's Apple,Even 8ths,Wayne Shorter,8
African Queen, The,Latin,Horace Silver,9
Afro Blue,Waltz,Mongo Santamaria,10
Afro Centric,Swing,Joe Henderson,11
After You,Ballad,Cole Porter,12
After You've Gone,Swing,Henry Creamer,13
Afternoon In Paris,Swing,John Lewis,14
Again,Ballad,Lionel Newman,15
Agua De Beber,Bossa,AntonioCarlos Jobim,16
Ahmid-6,Even 8ths,Pat Metheny,17
Ain't Misbehavin',Swing,Fats Waller,18
Ain't She Sweet,Swing,Milton Ager,19
Airegin,Swing,Sonny Rollins,20
Airmail Special,Swing,Charlie Christian,21
Aisha,Ballad,McCoy Tyner,22
Alexander's Ragtime Band,Swing,Irving Berlin,23
Alfie,Ballad,Burt Bacharach,24
Alfie's Theme,Swing,Sonny Rollins,25
Alice In Wonderland,Waltz,Sammy Fain,26
All About Ronnie,Ballad,Joe Greene,27
All Alone,Waltz,Irving Berlin,28
All Blues,Waltz,Miles Davis,29
All By Myself,Swing,Irving Berlin,30
All God's Chillun Got Rhythm,Swing,KahnKaper,31
All My Tomorrows,Ballad,Jimmy VanHeusen,32
All Of A Sudden My Heart Sings,Ballad,HerpinJamblanRome,33
All Of Me,Swing,Gerald Marks,34
All Of You,Swing,Cole Porter,35
All Or Nothing At All,Swing,Arthur Altman,36
All The Things You Are,Swing,Jerome Kern,37
All The Way,Ballad,Jimmy VanHeusen,38
All Through The Day,Swing,KernHammerstein,39
All Through The Night,Swing,Cole Porter,40
All Too Soon,Ballad,Duke Ellington,41
Almost Like Being In Love,Swing,Frederick Loewe,42
Alone Together,Swing,Arthur Schwartz,43
Alone Too Long,Ballad,Arthur Schwartz,44
Along Came Betty,Swing,Benny Golson,45
Always,Waltz,Irving Berlin,46
Always And Forever,Ballad,Pat Metheny,47
Am I Blue?,Swing,Harry Akst,48
Among My Souvenirs,Ballad,Horatio Nicholls,49
Ana Maria,Even 8ths,Wayne Shorter,50
And On The Third Day,Ballad,Michael Gibbs,51
And The Angels Sing,Swing,Ziggy Elman,52
Angel Eyes,Ballad,Matt Dennis,53
Anthropology,Swing,Charlie Parker,54
Anything Goes,Swing,Cole Porter,55
April In Paris,Swing,Vernon Duke,56
April Joy,Even 8ths,Pat Metheny,57
Aren't You Glad You're You,Swing,Jimmy VanHeusen,58
Armando's Rhumba,Latin,Chick Corea,59
As Long As I Live,Swing,Harold Arlen,60
As Time Goes By,Ballad,Herman Hupfeld,61
Ask Me Now,Ballad,Thelonious Monk,62
At Last,Swing,Harry Warren,63
At Long Last Love,Swing,Cole Porter,64
Au Privave,Swing,Charlie Parker,65
Autumn In New York,Ballad,Vernon Duke,66
Autumn Leaves,Swing,Joseph Kosma,67
Autumn Nocturne,Swing,GannonMyrow,68
Avalon,Swing,JolsonSylvaRose,69
Ba-lue Bolivar Ba-lues-are,Swing,Thelonious Monk,70
Backstage Sally,Swing,Wayne Shorter,71
Bags' Groove,Swing,Milt Jackson,72
Balance, The,Swing,Dave Holland,73
Ballad, A,Swing,Gerry Mulligan,74
Ballade,Ballad,Charlie Parker,75
Baltimore Oriole,Ballad,Hoagy Carmichael,76
Barbados,Latin,Charlie Parker,77
Barbara,Waltz,Horace Silver,78
Bark For Barksdale,Swing,Gerry Mulligan,79
Basin Street Blues,Swing,Spencer Williams,80
Bat, The,Ballad,Pat Metheny,81
Baubles, Bangles and Beads,Waltz,BorodinWrightForrest,82
Be Careful It's My Heart,Swing,Irving Berlin,83
Be My Love,Swing,Nikolaus Brodszky,84
Be-Bop,Swing,Dizzy Gillespie,85
Beatrice,Swing,Sam Rivers,86
Beautiful Friendship, A,Swing,Donald Kahn,87
Beautiful Love,Swing,Victor Young,88
Beauty And The Beast,Funk,Wayne Shorter,89
Begin The Beguine,Swing,Cole Porter,90
Bein' Green,Even 8ths,Joe Raposo,91
Bemsha Swing,Swing,Thelonious Monk,92
Benny's Tune,Afro,Lionel Loueke,93
Bernie's Tune,Swing,Bernie Miller,94
Besame Mucho,Bossa,Consuelo Velazques,95
Bess You Is My Woman,Ballad,George Gershwin,96
Bessie's Blues,Swing,John Coltrane,97
Best Is Yet To Come (Page 1), The,Swing,Cy Coleman,98
Best Is Yet To Come (Page 2), The,Swing,Cy Coleman,99
Best Thing For You Is Me, The,Swing,Irving Berlin,100
Best Things In Life Are Free, The,Swing,DeSylvaBrownHenderson,101
Better Days Ahead,Latin,Pat Metheny,102
Better Than Anything,Waltz,LoughboroughWheat,103
Between The Devil And The Deep Blue Sea,Swing,Harold Arlen,104
Bewitched,Ballad,Richard Rodgers,105
Beyond The Blue Horizon,Swing,WhitingHarding,106
Beyond The Sea,Swing,Charles Trenet,107
Bidin' My Time,Swing,George Gershwin,108
Bill Bailey,Swing,Traditional,109
Billie's Bounce,Swing,Charlie Parker,110
Billy Boy,Swing,Traditional,111
Birk's Works,Swing,Dizzy Gillespie,112
Birth Of The Blues, The,Swing,Ray Henderson,113
Black And Blue,Swing,Fats Waller,114
Black Coffee,Swing,BurkeWebster,115
Black Narcissus,Waltz,Joe Henderson,116
Black Nile,Swing,Wayne Shorter,117
Blackberry Winter,Ballad,Alec Wilder,118
Blame It On My Youth,Ballad,Oscar Levant,119
Blood Count,Swing,Billy Strayhorn,120
Bloomdido,Swing,Charlie Parker,121
Blossom Fell, A,Ballad,BarnesCornelius,122
Blue (And Broken Hearted),Swing,LeslieHandmanClarke,123
Blue And Sentimental,Ballad,LivingstoneDavidBasie,124
Blue Bossa,Bossa,Kenny Dorham,125
Blue Champagne,Swing,WattsRyersonEaton,126
Blue Daniel,Waltz,Frank Rosolino,127
Blue In Green,Ballad,Miles Davis, Bill Evans,128
Blue Lou,Swing,Irving Mills,129
Blue Monk,Swing,Thelonious Monk,130
Blue Moon,Swing,Richard Rodgers,131
Blue Room, The,Swing,Richard Rodgers,132
Blue Silver,Swing,Horace Silver,133
Blue Skies,Swing,Irving Berlin,134
Blue Sphere,Swing,Thelonious Monk,135
Blue Turning Grey Over You,Swing,Fats Waller,136
Blueberry Hill,Swing,LewisStockRose,137
Bluehawk,Swing,Thelonious Monk,138
Blues Five Spot,Swing,Thelonious Monk,139
Blues For Alice,Swing,Charlie Parker,140
Blues For Wood,Swing,Woody Shaw,141
Blues In The Closet,Swing,Oscar Pettiford,142
Blues In The Night,Swing,Harold Arlen,143
Blues March,Swing,Benny Golson,144
Bluesette,Waltz,Toots Thielemans,145
Body And Soul,Ballad,Johnny Green,146
Bohemia After Dark,Swing,Oscar Pettiford,147
Bolivia,Swing,Cedar Walton,148
Boo Boo's Birthday,Swing,Thelonious Monk,149
Booker's Waltz,Waltz,Booker Little,150
Boplicity,Swing,Cleo Henry,151
Born To Be Blue,Ballad,WellsTorme,152
Bossa Antigua,Bossa,Paul Desmond,153
Bouncin' With Bud,Swing,Bud Powell,154
Bourbon Street Parade,Swing,Paul Barbarin,155
Boy Next Door, The,Waltz,MartinBlane,156
Brazil (Aquarela Do Brasil),Samba,Ary Barroso,157
Brazilian Like,Bossa,Michel Petrucciani,158
Brazilian Suite,Bossa,Michel Petrucciani,159
Breeze And I, The,Latin,Ernesto Lecuona,160
Bright Boy,Swing,John Bright,161
Bright Mississippi,Swing,Thelonious Monk,162
Bright Size Life,Even 8ths,Pat Metheny,163
Brilliant Corners,Swing,Thelonious Monk,164
Broadway,Swing,WilliamHenriWoode,165
Brother Can You Spare A Dime,Swing,YarburgGorney,166
Brotherhood Of Man,Swing,Frank Loesser,167
Bud Powell,Swing,Chick Corea,168
Budo,Swing,DavisPowell,169
Bunko,Swing,Lenny Niehaus,170
But Beautiful,Ballad,Jimmy VanHeusen,171
But Not For Me,Swing,George Gershwin,172
Butch And Butch,Swing,Oliver Nelson,173
Butterfly,Funk,Herbie Hancock,174
Butterfly Dreams,Waltz,Stanley Clarke,175
By Myself,Swing,Arthur Schwartz,176
Bye Bye Baby,Swing,Jule Styne,177
Bye Bye Blackbird,Swing,Ray Henderson,178
Bye Bye Blues,Swing,HammBennettLownGray,179
Bye-Ya,Swing,Thelonious Monk,180
C'est Si Bon,Swing,Henri Betti,181
C-Jam Blues,Swing,Duke Ellington,182
C.T.A.,Swing,Jimmy Heath,183
